-1 1 1 -1 -1 -0.821108 1 -1 0.691382 0.635844 1 -0.673364 1 0.349604 1 -1 0.280185 -0.202127 0.83234 0.309769 -1 -0.295734 -0.0536611 1 -1 -0.167132 0.278581 -0.0243937 -0.67044 -0.600443 -0.23258 0.616501 0.144729 -0.104627 -0.345296 0.155925 -1 0.958881 -1 -0.521778 -0.0735452 0.613631 -0.197644 -0.614199 -0.200493 0.896908 0.820117 -1 0.627645 0.509251 0.628794 -0.579597 -0.2523 -0.529301 0.604312 -0.37929 -0.0312342 -0.557508 0.483707 1 -1 1 -0.551931 1 -1 -1 -0.649441 1 -0.311849 0.637654 1 -0.533935 -0.886534 1 -0.89181 -1 0.902183 -0.521398 -0.694765 0.365216 1 1 1 -0.879877 -0.50958 0.648934 0.103542 -1 -0.0559638 0.202967 0.331055 1 -0.746636 -0.421468 -1 -0.0960004 -0.958279 -1 -1 1 -1 -0.630773 0.808823 1 -0.0477692 -1 -0.3412 -1 -0.715596 1 -1 -1 -0.0183477 -1 -1 -0.0949588 -0.0872647 1 -1 -1 0.354436 1 -1 0.110012 1 0.254488 1 0.991888 0.556594 0.190671 -1 0.900119 -1 -0.44409 0.526115 0.297431 -0.12533 1 1 -1 0.630627 -0.179642 -1 1 -0.0305086 -0.464989 1 -0.950305 1 -0.197916 1 -1 -0.0199083 -0.494712 
-0.0123878 -0.425389 0.474902 0.472582 1 0.707081 1 -0.100511 1 -0.880854 -0.564574 0.896532 -0.889183 -1 1 0.542177 -1 -0.139977 -1 -0.764695 -1 -0.904631 1 -0.160769 -1 -1 -1 -1 -0.285593 0.0801401 -1 0.0749789 -1 -1 -1 1 1 1 -1 1 -1 1 1 1 -1 -0.984083 -1 0.324375 -0.530737 0.289159 1 1 1 -1 -1 -1 -0.824828 -0.558858 -1 -0.374083 1 -0.0753359 -0.344599 1 -1 1 0.384182 1 -0.693858 0.500035 1 0.730552 -0.0801155 0.554828 -1 -1 -0.66289 -1 1 0.0908268 -0.406492 0.671504 1 -0.0335773 0.0313446 1 -0.155972 1 -1 -0.41274 1 -0.168089 -0.510091 -1 -1 0.592618 -0.715008 -0.542295 -1 1 -0.719235 1 0.64363 -1 0.557968 -1 0.204207 0.786749 1 1 -0.937056 -1 1 1 0.916411 0.435615 0.800097 -0.552525 -0.10362 -1 -1 -0.0119745 -0.382552 -0.900921 0.987747 1 -0.3976 1 0.5885 0.415366 -0.34673 -0.0630345 -1 0.751835 0.575979 -0.912618 -1 1 0.00821983 -1 1 1 0.363564 -0.388693 0.337801 0.92547 0.370283 -0.70149 -1 0.0358174 -0.665942 -1 -0.124692 1 
0.606373 -1 -1 0.680894 0.62447 1 1 -0.671286 0.739162 1 0.958433 -1 -0.534483 0.365295 1 1 -0.154379 -0.392591 -1 1 1 -1 0.290073 0.126083 -0.500396 0.97104 0.220852 -1 0.140993 1 -1 -1 1 0.410008 -1 1 0.701143 0.206546 0.951427 1 -0.785044 0.0334119 1 -0.731901 0.80345 0.867296 -0.74141 0.700433 0.186646 -0.416545 0.262851 -0.61767 -0.331116 -1 -1 0.439288 -1 -1 -0.470237 -0.78133 0.610726 0.83069 0.59619 1 0.266056 -1 -1 -0.942446 0.28451 0.610615 1 1 1 0.800534 -0.647011 1 0.467442 -1 -0.0807503 1 -1 -0.434634 0.969256 0.470201 -0.511381 -0.445446 -0.169749 -1 -1 0.552839 0.0627221 0.939342 0.888081 -0.444385 0.409841 -0.411004 -1 -1 -0.767965 -1 0.88216 -1 0.705711 1 1 -0.437686 -0.325974 -0.0210051 -0.422172 -1 1 0.188409 0.270582 1 0.0172918 -0.961056 0.862072 0.353973 -0.581368 1 -0.341958 0.408635 -1 1 -0.900988 -1 0.886308 -1 -1 -0.0560238 0.809079 0.291226 1 -0.272839 1 -0.63383 1 1 1 0.494974 -0.315908 1 -0.720955 0.907155 -0.280579 -0.306569 -0.543424 -1 -1 0.0358174 -0.792143 1 -0.181149 -0.48114 
1 -1 -0.798245 1 -1 0.500191 -1 -0.163764 -1 0.119564 -1 0.79807 0.173962 0.544227 1 1 -0.3027 0.142956 -1 0.0377179 1 -0.535252 -1 -1 -1 0.744657 0.392703 0.23144 -0.358368 -0.0633115 0.528428 -1 0.845009 0.4559 -0.956773 1 0.813952 1 -0.462361 -0.15341 -0.666819 1 0.830989 -1 -1 -0.713073 0.10902 -1 0.246084 -0.0462305 1 -0.142535 0.992795 -0.771741 -0.305877 -1 -1 0.896025 -0.749493 1 -0.8716 -1 1 1 -1 0.288214 0.336347 -1 1 -1 -0.771588 -0.122911 -0.0649019 1 -1 -1 -0.390399 -0.0234638 1 1 1 -0.644333 -0.46464 0.475667 -0.690518 1 -0.731535 -1 -0.986111 0.807772 -0.828778 0.973479 -0.263563 -0.802039 -1 1 -1 0.262499 -1 0.429219 0.967084 0.860496 -0.929236 -0.486035 0.694595 0.360795 1 0.160208 -0.476182 -0.28934 0.162432 1 0.677101 0.565378 -0.273886 -0.58716 0.604781 -0.354059 1 1 -1 1 1 -0.646307 0.353809 0.738561 0.476324 0.142479 0.32985 1 -0.464795 -1 -1 1 -0.144319 0.293478 1 0.247942 -1 -0.508715 0.551837 -1 -0.767389 -0.00774213 -1 0.0144454 1 -1 -1 0.0358174 -0.6853 -1 -0.124692 -0.368752 
1 1 -1 -1 -0.531916 0.398041 0.0847584 -0.767557 -1 -0.782603 1 0.776691 0.0882795 -1 0.36659 -1 -0.980828 -1 1 1 1 -1 -1 0.170727 0.924756 1 0.97922 0.42583 -0.687669 -0.405545 -1 -0.481249 0.440698 1 -0.159346 0.51406 1 1 -1 -0.795707 0.695951 -0.975673 1 0.717828 -0.536758 0.737476 1 -0.0468548 0.29199 -0.989331 0.691039 -0.0939001 -1 0.536009 -0.669263 0.357417 -1 0.36936 -1 1 -1 1 -0.00528019 1 0.810435 0.0638456 -1 0.326128 -0.251013 1 1 0.788178 0.215818 0.537692 -0.980893 -0.758095 -0.122506 -0.340401 -0.764192 -1 -0.167108 1 0.745826 1 -0.761691 1 -0.131155 0.346988 -0.963322 1 0.899985 -0.178074 -0.346803 1 0.22465 -0.121259 -1 -1 -0.0830562 0.249793 0.893922 -1 0.698274 0.13752 1 -1 -0.614192 -1 -0.626101 -0.208084 -0.5201 -0.321274 0.832266 0.225997 0.957592 -1 0.253842 -0.527362 1 0.12539 0.869374 -0.65 -0.105892 -0.0610959 -1 0.229277 0.433645 -1 -1 0.635252 0.472328 -0.369035 1 1 1 0.402252 1 1 -0.899521 -0.736803 0.649628 0.334849 0.964982 1 -0.274955 0.998253 0.0968793 -1 -1 0.0941067 0.817042 -1 0.0602094 1 
-0.81943 0.300457 -0.813492 -1 0.352662 1 -0.615764 -1 1 1 0.00695663 -0.624576 -0.81534 1 1 -0.931081 -0.0802942 -0.317821 -1 1 -1 0.617714 0.57419 1 -1 0.365967 -0.30911 -0.623371 -0.957195 0.430565 1 1 0.340036 -1 -0.348127 -0.0392088 1 -0.29128 0.719116 0.015934 -1 -0.920313 1 0.68106 -1 0.132259 -0.541995 -1 -0.487872 -1 0.301651 -1 -1 -1 -1 -1 -1 -0.316461 0.775879 1 0.507133 -0.301172 -0.271586 1 -1 -0.198269 -1 1 -0.0492129 -0.510057 1 1 0.526414 -0.249698 1 -0.454513 0.876945 -1 -1 0.812612 0.689315 0.0470152 1 -1 -0.178853 1 0.629456 0.745969 1 1 -1 0.0721027 -0.650144 -1 -1 1 -0.143981 1 -1 1 1 1 -1 -0.85436 0.131667 -0.983929 1 -1 -0.426211 -1 0.835047 1 0.42728 -1 -1 0.400232 0.893864 -0.266254 -1 1 -0.734016 0.897253 -0.466006 0.110012 -0.166959 -0.42051 0.727106 1 0.556594 1 1 -0.703077 0.362478 -1 -1 -1 -0.0416522 -0.0140177 -0.636441 -1 0.631735 -0.488169 1 -0.746843 1 -0.920712 0.224902 -1 -1 0.0667104 0.822947 1 -0.197356 -0.839878 
0.233045 0.634095 1 0.109578 -1 0.457435 -1 -0.716314 0.42146 -0.561545 -1 0.898306 -1 -0.97802 0.525725 0.757858 -0.665041 1 0.222742 -1 0.474412 -1 0.982081 0.475832 1 -0.0112177 1 -0.771349 -1 1 -0.0836976 1 -1 -0.141762 1 0.650827 1 1 -0.933501 -1 1 0.213195 0.556485 0.216995 -0.526014 0.588747 -0.535818 -1 1 -0.378002 -0.11508 -0.0141906 -0.148408 -0.778571 1 0.971425 -0.162163 -0.845813 -1 -0.145166 -1 -1 1 1 1 -1 -0.98906 -0.988243 -1 -0.545939 1 0.119235 0.249485 0.117214 -0.940405 -0.236566 -0.621234 -0.631078 -0.0807503 0.777213 -1 -0.434634 0.969256 0.470201 -0.511381 -0.445446 0.219166 -1 -1 0.552839 0.0627221 0.962103 0.389131 -0.0738761 0.409841 -0.411004 -1 1 -1 -1 0.937979 -1 0.705711 1 1 -0.437686 -0.325974 -1 0.162882 -1 -0.295544 -0.706648 1 1 0.0172918 -0.961056 0.862072 -1 -0.581368 1 1 0.408635 -1 1 -0.444172 -1 0.886308 0.213422 -0.0467192 1 0.809079 0.764533 1 -1 1 -1 1 1 1 1 0.718667 0.612009 -1 -0.671172 -0.126237 1 0.467692 -0.68472 -1 0.0358174 -1 1 -0.585027 -1 
0.950403 0.595387 1 -0.358083 -0.668538 1 -0.64406 -1 -0.462242 -0.419362 1 0.667075 -0.554443 0.564181 1 1 1 0.141733 -1 -0.429411 -1 -0.646054 -1 -0.386819 1 -0.843402 -0.624139 0.5467 -0.196124 1 0.122754 -1 0.232033 1 -1 1 -0.000169498 0.79937 -1 -1 1 0.89801 1 -0.777194 -1 -0.0448265 -1 -0.0598475 -0.691991 0.0107534 -0.226829 1 -0.882955 -1 -1 0.109087 0.253438 0.329571 -1 -1 0.588963 -0.312207 -0.217716 0.505905 -1 -1 -0.462613 -1 0.677964 -1 1 1 -1 -1 -1 -0.69773 1 0.169976 0.773346 1 0.580184 0.761358 1 0.131761 1 -0.518611 0.644725 -0.177374 1 -1 1 0.701399 -0.366704 -0.655307 1 0.382579 -0.81502 -1 -1 -1 -1 -1 0.235829 -1 1 0.698025 -0.982942 -0.71566 -0.915338 -1 -0.623024 1 0.655989 -0.780863 1 -0.936434 -0.143214 -0.638707 -0.366861 -1 -1 0.331629 1 -1 0.290139 -1 1 1 1 -0.887808 -0.684435 1 0.465407 0.0553476 1 -1 1 -0.657405 -1 -1 0.0829739 1 -1 0.649606 -1 -0.0366909 1 -1 -1 0.0358174 0.446451 -0.620016 -0.00892841 -0.406154 
-1 -0.717495 1 0.0978842 -0.572695 1 1 -1 0.820644 -0.394509 -1 1 -1 1 1 0.912676 -1 0.894251 0.351991 -0.171423 0.539883 -0.935703 -1 1 -1 0.28408 -0.974869 1 -0.435382 0.868906 1 0.963367 1 1 0.400724 1 0.110057 1 0.0802749 0.16436 1 1 1 -0.663141 0.78796 1 -0.114935 -1 1 -0.629282 -0.602364 -1 1 0.471566 0.88391 -0.411647 -1 1 -0.761593 -1 1 -0.770481 0.087882 1 0.544304 -1 0.00529256 -1 -0.170504 0.781529 0.498501 -1 -0.78818 -1 -0.370598 0.503279 -1 -0.893004 -0.392041 1 0.282714 1 -0.0426064 -1 1 0.411097 1 -0.0304723 -0.199564 -0.246947 1 1 -1 -1 -0.662782 -0.0178635 -1 -0.409539 -0.926549 -0.362861 0.20629 -0.296755 0.75132 1 0.487924 -0.86771 1 -1 -1 1 -0.44234 1 -1 -1 0.89559 -0.753313 0.712854 -1 -1 1 -1 0.493951 1 0.792486 -0.198279 -1 -1 0.157866 0.595724 -1 1 0.118353 -1 -1 1 0.0925612 0.188383 1 -0.73023 -1 1 1 0.515568 -0.240653 -0.531012 -1 -0.0485655 -0.678353 -1 0.0358174 -0.864789 1 0.112442 -0.129544 
1 1 -0.135146 1 0.379432 -0.000510175 -0.731698 -1 -0.502347 -0.230176 1 1 0.95418 -1 0.35742 1 -0.827474 1 -1 -1 -0.393286 -1 1 0.328215 -0.976785 0.602605 0.667748 -1 -0.683796 0.968875 1 -0.0166928 0.404809 1 0.47127 1 1 1 -1 0.292119 -0.157357 -0.398356 1 1 -0.721298 0.357324 -1 -0.646408 -0.0851055 -1 1 -0.88544 -0.533985 1 -0.00652138 0.943995 -1 1 1 0.114339 0.775659 0.247584 0.765633 1 -1 -1 -0.199664 -0.928945 -0.605534 1 0.201483 1 -0.0887439 -1 0.0941244 -0.687541 -1 -1 1 1 -0.808497 0.341873 -1 -0.220184 1 0.549101 -1 -0.282929 0.398284 -1 0.136123 -0.0394668 0.385137 0.167691 -1 1 -1 0.229785 -1 1 0.482101 -1 0.694185 1 1 -0.409743 -0.606029 -0.557099 -0.356237 0.066781 1 0.269965 0.840023 -0.291131 0.793063 0.928083 0.955299 -1 1 1 1 0.555561 -1 -1 1 -1 -0.419568 -0.385712 1 1 -1 -0.185239 1 -1 -1 1 1 1 0.934389 1 1 1 1 -1 0.61099 -0.931749 1 -1 -1 0.0358174 -1 -1 -0.00894251 -0.70512 
